14,2,0.19029
22,3,0.14373
25,4,0.12961
19,5,0.27133
13,6,0.082684
24,7,0.11937
16,8,0.041603
12,11,0.15321
11,12,0.15321
6,13,0.082684
18,15,0.019312
8,16,0.041603
15,18,0.019312
13,20,0.089032
3,22,0.14373
15,23,0.1673
7,24,0.11937
4,25,0.12961
23,26,0.24556
12,1,0.33676
18,2,0.23648
23,3,0.21332
7,4,0.29998
11,5,0.28464
20,6,0.10254
25,7,0.17699
12,8,0.15985
8,11,0.16182
8,12,0.15985
20,13,0.089032
20,19,0.127
6,20,0.10254
23,22,0.21691
18,23,0.18662
7,25,0.17699
5,1,0.40935
15,2,0.25562
14,3,0.2261
24,4,0.40904
16,5,0.29597
19,6,0.21788
10,7,0.24231
11,8,0.16182
16,11,0.17523
16,12,0.19922
19,13,0.21455
21,19,0.1578
19,20,0.127
15,22,0.32909
3,23,0.21332
24,25,0.29282
8,1,0.41211
13,2,0.37043
15,3,0.24283
10,4,0.44654
17,5,0.31107
17,6,0.28079
12,7,0.28703
9,8,0.1687
1,11,0.25146
24,12,0.24864
17,13,0.26289
9,19,0.21132
17,20,0.18225
18,22,0.34482
22,23,0.21691
10,25,0.36564
16,1,0.42635
20,2,0.40972
18,3,0.25306
22,4,0.51483
8,5,0.32603
5,6,0.35855
4,7,0.29998
24,8,0.20535
5,11,0.28464
7,12,0.28703
21,13,0.34744
13,19,0.21455
21,20,0.27021
14,22,0.36061
26,23,0.24556
12,25,0.43583
